Nome da Variável,Descrição da Variável,Categoria
IN_AREA_PLANTIO,"Dependências físicas existentes e utilizadas na escola - Área de horta, plantio e/ou produção agricola","0 - Não
1 - Sim"
IN_AUDITORIO,Dependências físicas existentes e utilizadas na escola - Auditório,"0 - Não
1 - Sim"
IN_BANHEIRO_FORA_PREDIO,Dependências físicas existentes e utilizadas na escola - Banheiro fora do prédio,"0 - Não
1 - Sim"
IN_BANHEIRO_DENTRO_PREDIO,Dependências físicas existentes e utilizadas na escola - Banheiro dentro do prédio,"0 - Não
1 - Sim"
IN_BANHEIRO,Dependências físicas existentes e utilizadas na escola - Banheiro ,"0 - Não
1 - Sim"
IN_BANHEIRO_EI,Dependências físicas existentes e utilizadas na escola - Banheiro adequado à educação infantil,"0 - Não
1 - Sim"
IN_BANHEIRO_PNE,"Dependências físicas existentes e utilizadas na escola - Banheiro acessível, adequado ao uso de pessoas com deficiência ou mobilidade reduzida","0 - Não
1 - Sim"
IN_BANHEIRO_FUNCIONARIOS,Dependências físicas existentes e utilizadas na escola - Banheiro exclusivo para os funcionários,"0 - Não
1 - Sim"
IN_BANHEIRO_CHUVEIRO,Dependências físicas existentes e utilizadas na escola - Banheiro ou vestiário com chuveiro,"0 - Não
1 - Sim"
IN_BERCARIO,Dependências físicas existentes e utilizadas na escola - Berçário,"0 - Não
1 - Sim"
IN_BIBLIOTECA,Dependências físicas existentes e utilizadas na escola - Biblioteca,"0 - Não
1 - Sim"
IN_BIBLIOTECA_SALA_LEITURA,Dependências físicas existentes e utilizadas na escola - Biblioteca e/ou Sala de leitura,"0 - Não
1 - Sim"
IN_COZINHA,Dependências físicas existentes e utilizadas na escola - Cozinha,"0 - Não
1 - Sim"
IN_DESPENSA,Dependências físicas existentes e utilizadas na escola - Despensa,"0 - Não
1 - Sim"
IN_DORMITORIO_ALUNO,Dependências físicas existentes e utilizadas na escola - Dormitório de aluno(a),"0 - Não
1 - Sim"
IN_DORMITORIO_PROFESSOR,Dependências físicas existentes e utilizadas na escola - Dormitório de professor(a),"0 - Não
1 - Sim"
IN_LABORATORIO_CIENCIAS,Dependências físicas existentes e utilizadas na escola - Laboratório de ciências,"0 - Não
1 - Sim"
IN_LABORATORIO_INFORMATICA,Dependências físicas existentes e utilizadas na escola - Laboratório de informática,"0 - Não
1 - Sim"
IN_LABORATORIO_EDUC_PROF,Dependências físicas existentes e utilizadas na escola - Laboratório específico para a Educação Profissional,"0 - Não
1 - Sim"
IN_PATIO_COBERTO,Dependências físicas existentes e utilizadas na escola - Pátio coberto,"0 - Não
1 - Sim"
IN_PATIO_DESCOBERTO,Dependências físicas existentes e utilizadas na escola - Pátio descoberto,"0 - Não
1 - Sim"
IN_PARQUE_INFANTIL,Dependências físicas existentes e utilizadas na escola - Parque infantil,"0 - Não
1 - Sim"
IN_PISCINA,Dependências físicas existentes e utilizadas na escola - Piscina,"0 - Não
1 - Sim"
IN_QUADRA_ESPORTES,Dependências físicas existentes e utilizadas na escola - Quadra de esportes coberta ou descoberta,"0 - Não
1 - Sim"
IN_QUADRA_ESPORTES_COBERTA,Dependências físicas existentes e utilizadas na escola - Quadra de esportes coberta,"0 - Não
1 - Sim"
IN_QUADRA_ESPORTES_DESCOBERTA,Dependências físicas existentes e utilizadas na escola - Quadra de esportes descoberta,"0 - Não
1 - Sim"
IN_REFEITORIO,Dependências físicas existentes e utilizadas na escola - Refeitório,"0 - Não
1 - Sim"
IN_SALA_ATELIE_ARTES,Dependências físicas existentes e utilizadas na escola - Sala/ateliê de artes,"0 - Não
1 - Sim"
IN_SALA_MUSICA_CORAL,Dependências físicas existentes e utilizadas na escola -  Sala de música/coral,"0 - Não
1 - Sim"
IN_SALA_ESTUDIO_DANCA,Dependências físicas existentes e utilizadas na escola - Sala/estúdio de dança,"0 - Não
1 - Sim"
IN_SALA_MULTIUSO,"Dependências físicas existentes e utilizadas na escola - Sala multiuso (música, dança e artes)","0 - Não
1 - Sim"
IN_SALA_ESTUDIO_GRAVACAO,Dependências físicas existentes e utilizadas na escola - Estúdio de gravação e edição,"0 - Não
1 - Sim"
IN_SALA_OFICINAS_EDUC_PROF,Dependências físicas existentes e utilizadas na escola - Salas de oficinas da Educação Profissional,"0 - Não
1 - Sim"
IN_SALA_DIRETORIA,Dependências físicas existentes e utilizadas na escola - Sala de Diretoria,"0 - Não
1 - Sim"
IN_SALA_LEITURA,Dependências físicas existentes e utilizadas na escola - Sala de leitura,"0 - Não
1 - Sim"
IN_SALA_PROFESSOR,Dependências físicas existentes e utilizadas na escola - Sala de professores,"0 - Não
1 - Sim"
IN_SALA_REPOUSO_ALUNO,Dependências físicas existentes e utilizadas na escola - Sala de repouso para aluno(a),"0 - Não
1 - Sim"
IN_SECRETARIA,Dependências físicas existentes e utilizadas na escola - Sala de Secretaria,"0 - Não
1 - Sim"
