Nome da Variável,Descrição da Variável,Categoria
QT_PROF_MONITORES,"Quantidade de profissionais que atuam na escola - Técnicos(as), monitores(as), supervisores(as) ou auxiliares de laboratório(s), de apoio a tecnologias educacionais ou em multimeios/multimídias eletrônico/digitais",88888 - registro com marcação de valor extremo (valor superior ao limite máximo* definido com base na distribuição da razão de profissionais por matrícula)
IN_PROF_GESTAO,"Profissionais que atuam na escola - Vice-diretor(a) ou diretor(a) adjunto(a), profissionais responsáveis pela gestão administrativa e/ou financeira","0 - Não
1 - Sim"
QT_PROF_GESTAO,"Quantidade de profissionais que atuam na escola - Vice-diretor(a) ou diretor(a) adjunto(a), profissionais responsáveis pela gestão administrativa e/ou financeira",88888 - registro com marcação de valor extremo (valor superior ao limite máximo* definido com base na distribuição da razão de profissionais por matrícula)
IN_PROF_ASSIST_SOCIAL,Profissionais que atuam na escola - Orientador(a) comunitário(a) ou assistente social,"0 - Não
1 - Sim"
QT_PROF_ASSIST_SOCIAL,Quantidade de profissionais que atuam na escola - Orientador(a) comunitário(a) ou assistente social,88888 - registro com marcação de valor extremo (valor superior ao limite máximo* definido com base na distribuição da razão de profissionais por matrícula)
IN_PROF_TRAD_LIBRAS,Profissionais que atuam na escola - Tradutor e Intérprete de Libras para atendimento em outros ambientes da escola que não seja sala de aula,"0 - Não
1 - Sim"
QT_PROF_TRAD_LIBRAS,Quantidade de profissionais que atuam na escola - Tradutor e Intérprete de Libras para atendimento em outros ambientes da escola que não seja sala de aula,"88888 - registro com marcação de valor extremo (valor superior ao limite máximo* definido com base na distribuição da razão de profissionais por matrícula de aluno com surdez, deficiência auditiva ou surdocegueira)."
IN_PROF_AGRICOLA,"Profissionais que atuam na escola - Agrônomos(as), horticultores(as), técnicos ou monitores(as) responsáveis pela gestão da área de horta, plantio e/ou produção agrícola","0 - Não
1 - Sim"
QT_PROF_AGRICOLA,"Quantidade de profissionais que atuam na escola - Agrônomos(as), horticultores(as), técnicos ou monitores(as) responsáveis pela gestão da área de horta, plantio e/ou produção agrícola",88888 - registro com marcação de valor extremo (valor superior ao limite máximo* definido com base na distribuição da razão de profissionais por matrícula).
IN_PROF_REVISOR_BRAILLE,"Profissionais que atuam na escola - Revisor de texto Braille, assistente vidente (assistente de revisão do texto em Braille)","0 - Não
1 - Sim"
QT_PROF_REVISOR_BRAILLE,"Quantidade de profissionais que atuam na escola - Revisor de texto Braille, assistente vidente (assistente de revisão do texto em Braille)","88888 - registro com marcação de valor extremo (valor superior ao limite máximo* definido com base na distribuição da razão de profissionais por matrícula de aluno com cegueira, surdo-cegueira ou baixa visão)."
IN_ALIMENTACAO,Alimentação escolar para os alunos - PNAE/FNDE,"0 - Não oferece
1 - Oferece"
IN_SERIE_ANO,Forma de organização do ensino - Série/Ano (séries anuais),"0 - Não
1 - Sim
9 - Não informado
   - Não aplicável para escolas sem matrículas de escolarização"
IN_PERIODOS_SEMESTRAIS,Forma de organização do ensino -  Períodos semestrais,"0 - Não
1 - Sim
9 - Não informado
   - Não aplicável para escolas sem matrículas de escolarização"
IN_FUNDAMENTAL_CICLOS,Forma de organização do ensino - Ciclo(s) do Ensino Fundamental,"0 - Não
1 - Sim
9 - Não informado
   - Não aplicável para escolas sem matrículas de escolarização"
IN_GRUPOS_NAO_SERIADOS,Forma de organização do ensino - Grupos não-seriados com base na idade ou competência (art. 23 LDB),"0 - Não
1 - Sim
9 - Não informado
   - Não aplicável para escolas sem matrículas de escolarização"
IN_MODULOS,Forma de organização do ensino - Módulos,"0 - Não
1 - Sim
9 - Não informado
   - Não aplicável para escolas sem matrículas de escolarização"
IN_FORMACAO_ALTERNANCIA,Forma de organização do ensino - Alternância regular de períodos de estudos (proposta pedagógica de formação por alternância com tempo-escola e tempo-comunidade),"0 - Não
1 - Sim
9 - Não informado
   - Não aplicável para escolas sem matrículas de escolarização"
IN_MATERIAL_PED_MULTIMIDIA,Instrumentos e materiais socioculturais e/ou pedagógicos em uso na escola para o desenvolvimento de atividades de ensino e aprendizagem - Acervo multimídia,"0 - Não
1 - Sim"
IN_MATERIAL_PED_INFANTIL,Instrumentos e materiais socioculturais e/ou pedagógicos em uso na escola para o desenvolvimento de atividades de ensino e aprendizagem - Brinquedos para Educação Infantil,"0 - Não
1 - Sim"
IN_MATERIAL_PED_CIENTIFICO,Instrumentos e materiais socioculturais e/ou pedagógicos em uso na escola para o desenvolvimento de atividades de ensino e aprendizagem - Conjunto de materiais científicos,"0 - Não
1 - Sim"
IN_MATERIAL_PED_DIFUSAO,Instrumentos e materiais socioculturais e/ou pedagógicos em uso na escola para o desenvolvimento de atividades de ensino e aprendizagem - Equipamento para amplificação e difusão de som/áudio,"0 - Não
1 - Sim"
IN_MATERIAL_PED_MUSICAL,"Instrumentos e materiais socioculturais e/ou pedagógicos em uso na escola para o desenvolvimento de atividades de ensino e aprendizagem - Instrumentos musicais para conjunto, banda/fanfarra e/ou aulas de música","0 - Não
1 - Sim"
IN_MATERIAL_PED_JOGOS,Instrumentos e materiais socioculturais e/ou pedagógicos em uso na escola para o desenvolvimento de atividades de ensino e aprendizagem - Jogos Educativos,"0 - Não
1 - Sim"
IN_MATERIAL_PED_ARTISTICAS,Instrumentos e materiais socioculturais e/ou pedagógicos em uso na escola para o desenvolvimento de atividades de ensino e aprendizagem - Materiais para atividades culturais e artísticas,"0 - Não
1 - Sim"
IN_MATERIAL_PED_PROFISSIONAL,Instrumentos e materiais socioculturais e/ou pedagógicos em uso na escola para o desenvolvimento de atividades de ensino e aprendizagem - Materiais para Educação Profissional,"0 - Não
1 - Sim"
IN_MATERIAL_PED_DESPORTIVA,Instrumentos e materiais socioculturais e/ou pedagógicos em uso na escola para o desenvolvimento de atividades de ensino e aprendizagem - Materiais para prática desportiva e recreação,"0 - Não
1 - Sim"
IN_MATERIAL_PED_INDIGENA,Instrumentos e materiais socioculturais e/ou pedagógicos em uso na escola para o desenvolvimento de atividades de ensino e aprendizagem - Indígena,"0 - Não
1 - Sim"
IN_MATERIAL_PED_ETNICO,Instrumentos e materiais socioculturais e/ou pedagógicos em uso na escola para o desenvolvimento de atividades de ensino e aprendizagem - Materiais pedagógicos para a educação das relações étnico-raciais,"0 - Não
1 - Sim"
IN_MATERIAL_PED_CAMPO,Instrumentos e materiais socioculturais e/ou pedagógicos em uso na escola para o desenvolvimento de atividades de ensino e aprendizagem - Materiais pedagógicos para a educação do campo,"0 - Não
1 - Sim"
IN_MATERIAL_PED_BIL_SURDOS,"Instrumentos, materiais socioculturais e/ou pedagógicos em uso na escola para o desenvolvimento de atividades de ensino aprendizagem - Materiais pedagógicos para a educação bilíngue de surdos","0 - Não
1 - Sim"
IN_MATERIAL_PED_AGRICOLA,"Instrumentos, materiais socioculturais e/ou pedagógicos em uso na escola para o desenvolvimento de atividades de ensino aprendizagem - Equipamentos e instrumentos para atividades em área de horta, plantio e/ou produção agrícola","0 - Não
1 - Sim"
IN_MATERIAL_PED_QUILOMBOLA,"Instrumentos, materiais socioculturais e/ou pedagógicos em uso na escola para o desenvolvimento de atividades de ensino aprendizagem - Materiais pedagógicos para a educação escolar quilombola","0 - Não
1 - Sim"
IN_MATERIAL_PED_EDU_ESP,"Instrumentos, materiais socioculturais e/ou pedagógicos em uso na escola para o desenvolvimento de atividades de ensino aprendizagem - Materiais pedagógicos para a educação especial","0 - Não
1 - Sim"
IN_MATERIAL_PED_NENHUM,Instrumentos e materiais socioculturais e/ou pedagógicos em uso na escola para o desenvolvimento de atividades de ensino e aprendizagem - Nenhum,"0 - Não
1 - Sim"
IN_MATERIAL_ESP_QUILOMBOLA,Materiais didáticos específicos para atendimento à diversidade sociocultural - Quilombolas,"0 - Não
1 - Sim"
IN_MATERIAL_ESP_INDIGENA,Materiais didáticos específicos para atendimento à diversidade sociocultural - Indígena,"0 - Não
1 - Sim"
IN_MATERIAL_ESP_NAO_UTILIZA,Materiais didáticos específicos para atendimento à diversidade sociocultural - Não utiliza,"0 - Não
1 - Sim"
IN_EDUCACAO_INDIGENA,Escola Indígena,"0 - Não
1 - Sim"
TP_INDIGENA_LINGUA,Escola Indígena - Língua em que o ensino é ministrado (apenas para escola indígena),"1 - Somente em Língua Indígena
2 - Somente em Língua Portuguesa
3 - Em Língua Indígena e em Língua Portuguesa
 - não aplicável (aplicável apenas para Escola Indígena)"
CO_LINGUA_INDIGENA_1,Escola Indígena - Língua em que o ensino é ministrado (apenas para escola indígena) - Língua Indígena - Código da língua Indígena 1,
CO_LINGUA_INDIGENA_2,Escola Indígena - Língua em que o ensino é ministrado (apenas para escola indígena) - Língua Indígena - Código da língua Indígena 2,
CO_LINGUA_INDIGENA_3,Escola Indígena - Língua em que o ensino é ministrado (apenas para escola indígena) - Língua Indígena - Código da língua Indígena 3,
IN_BRASIL_ALFABETIZADO,Escola cede espaço para turmas do Programa Brasil Alfabetizado,"0 - Não
1 - Sim"
IN_FINAL_SEMANA,Escola abre aos finais de semana para a comunidade,"0 - Não
1 - Sim"
IN_EXAME_SELECAO,A escola faz exame de seleção para ingresso de seus alunos (avaliação por prova e/ou análise curricular),"0 - Não
1 - Sim
9 - Não informado"
IN_RESERVA_PPI,"Reserva de vagas por sistema de cotas para grupos específicos de alunos - Autodeclarado preto, pardo ou indígena (PPI)","0 - Não
1 - Sim
 - Não aplicável para escolas que não fazem exame de seleção"
IN_RESERVA_RENDA,Reserva de vagas por sistema de cotas para grupos específicos de alunos - Condição de Renda,"0 - Não
1 - Sim
 - Não aplicável para escolas que não fazem exame de seleção"
IN_RESERVA_PUBLICA,Reserva de vagas por sistema de cotas para grupos específicos de alunos - Oriundo de escola pública,"0 - Não
1 - Sim
 - Não aplicável para escolas que não fazem exame de seleção"
IN_RESERVA_PCD,Reserva de vagas por sistema de cotas para grupos específicos de alunos - Pessoa com deficiência (PCD),"0 - Não
1 - Sim
 - Não aplicável para escolas que não fazem exame de seleção"
IN_RESERVA_OUTROS,Reserva de vagas por sistema de cotas para grupos específicos de alunos - Outros grupos,"0 - Não
1 - Sim
 - Não aplicável para escolas que não fazem exame de seleção"
IN_RESERVA_NENHUMA,Reserva de vagas por sistema de cotas para grupos específicos de alunos - Sem reservas de vagas para sistema de cotas (ampla concorrência),"0 - Não
1 - Sim
 - Não aplicável para escolas que não fazem exame de seleção"
IN_REDES_SOCIAIS,A escola possui site ou blog ou página em redes sociais para comunicação institucional,"0 - Não
1 - Sim
9 - Não informado"
IN_ESPACO_ATIVIDADE,A escola compartilha espaços para atividades de integração escola-comunidade,"0 - Não
1 - Sim
9 - Não informado"
IN_ESPACO_EQUIPAMENTO,A escola usa espaços e equipamentos do entorno escolar para atividades regulares com os alunos,"0 - Não
1 - Sim
9 - Não informado"
IN_ORGAO_ASS_PAIS,Órgãos colegiados em funcionamento na escola - Associação de Pais,"0 - Não
1 - Sim"
IN_ORGAO_ASS_PAIS_MESTRES,Órgãos colegiados em funcionamento na escola - Associação de Pais e Mestres,"0 - Não
1 - Sim"
IN_ORGAO_CONSELHO_ESCOLAR,Órgãos colegiados em funcionamento na escola - Conselho Escolar,"0 - Não
1 - Sim"
IN_ORGAO_GREMIO_ESTUDANTIL,Órgãos colegiados em funcionamento na escola - Grêmio Estudantil,"0 - Não
1 - Sim"
IN_ORGAO_OUTROS,Órgãos colegiados em funcionamento na escola - Outros,"0 - Não
1 - Sim"
IN_ORGAO_NENHUM,Órgãos colegiados em funcionamento na escola - Não há órgãos colegiados em funcionamento,"0 - Não
1 - Sim"
TP_PROPOSTA_PEDAGOGICA,O projeto político pedagógico ou a proposta pedagógica da escola (conforme art. 12 da LDB) foi atualizado nos últimos 12 meses até a data de referência,"0 - Não
1 - Sim
2 - A escola não possui projeto político pedagógico/proposta pedagógica
9 - Não informado"
IN_EDUC_AMBIENTAL,A escola desenvolve ações na área de educação ambiental?,"0 - Não
1 - Sim"
IN_EDUC_AMB_CONTEUDO,Informe de qual(quais) forma(s) a educação ambiental é desenvolvida na escola: Como conteúdo dos componentes/campos de experiências presentes no currículo,"0 - Não
1 - Sim"
IN_EDUC_AMB_CURRICULAR,"Informe de qual(quais) forma(s) a educação ambiental é desenvolvida na escola: Como um componente curricular especial, específico, flexível ou eletivo","0 - Não
1 - Sim"
IN_EDUC_AMB_EIXO,Informe de qual(quais) forma(s) a educação ambiental é desenvolvida na escola: Como um eixo estruturante do currículo,"0 - Não
1 - Sim"
IN_EDUC_AMB_EVENTOS,Informe de qual(quais) forma(s) a educação ambiental é desenvolvida na escola: Em eventos,"0 - Não
1 - Sim"
IN_EDUC_AMB_PROJETOS,Informe de qual(quais) forma(s) a educação ambiental é desenvolvida na escola: Em projetos transversais ou interdisciplinares,"0 - Não
1 - Sim"
IN_EDUC_AMB_NENHUMA,Informe de qual(quais) forma(s) a educação ambiental é desenvolvida na escola: Nenhuma das opções listadas,"0 - Não
1 - Sim"
TP_AEE,Atendimento Educacional Especializado (AEE),"0 - Não oferece
1 - Não exclusivamente
2 - Exclusivamente"
TP_ATIVIDADE_COMPLEMENTAR,Atividade Complementar,"0 - Não oferece
1 - Não exclusivamente
2 - Exclusivamente"
IN_MEDIACAO_PRESENCIAL,Mediação didático-pedagógica oferecida pela escola - Presencial,"0 - Não
1 - Sim"
IN_MEDIACAO_SEMIPRESENCIAL,Mediação didático-pedagógica oferecida pela escola - Semipresencial,"0 - Não
1 - Sim"
IN_MEDIACAO_EAD,Mediação didático-pedagógica oferecida pela escola - Educação a Distância - EAD,"0 - Não
1 - Sim"
IN_REGULAR,"Modo, maneira ou metodologia de ensino correspondente às turmas com etapas de escolarização consecutivas, Creche ao Ensino Médio","0 - Não
1 - Sim"
IN_DIURNO,Turno - Diurno - Maior parte das atividades da turma são realizadas no período entre 6h e 17:59h,"0 - Não
1 - Sim"
IN_NOTURNO,Turno - Noturno - Maior parte das atividades da turma são realizadas entre 18h e 5:59h,"0 - Não
1 - Sim"
IN_EAD,Turno não aplicável para turmas semipresenciais ou de Educação a Distância (EAD),"0 - Não
1 - Sim"
IN_BAS,Educação Básica (Possui uma ou mais matrículas),"0 - Não
1 - Sim"
IN_ESCOLARIZACAO,"Escola possui uma ou mais matrículas de escolarização em alguma das seguintes etapas de ensino: Creche, Pré-Escola, Ensino Fundamental, Ensino Médio, Educação de Jovens e Adultos (EJA), Curso Técnico Concomitante, Curso Técnico Subsequente, Curso FIC Concomitante","0 - Não
1 - Sim"
IN_INF,Etapa de Ensino - Educação Infantil (Possui uma ou mais matrículas),"0 - Não
1 - Sim"
IN_INF_CRE,Etapa de Ensino - Educação Infantil - Creche (Possui uma ou mais matrículas),"0 - Não
1 - Sim"
IN_INF_PRE,Etapa de Ensino - Educação Infantil - Pré-Escola (Possui uma ou mais matrículas),"0 - Não
1 - Sim"
IN_FUND,Etapa de Ensino - Ensino Fundamental (Possui uma ou mais matrículas),"0 - Não
1 - Sim"
IN_FUND_AI,Etapa de Ensino - Ensino Fundamental - Anos Iniciais (Possui uma ou mais matrículas),"0 - Não
1 - Sim"
IN_FUND_AF,Etapa de Ensino - Ensino Fundamental - Anos Finais (Possui uma ou mais matrículas),"0 - Não
1 - Sim"
IN_MED,Etapa de Ensino - Ensino Médio (Possui uma ou mais matrículas),"0 - Não
1 - Sim"
IN_PROF,Educação Profissional - Modo profissionalizante de ensino correspondente às turmas de cursos de formação inicial e continuada ou de qualificação profissional (Cursos FIC) articulados à EJA ou concomitantes; ou de cursos técnicos de nível médio nas formas articulada (integrada ou concomitante) ou subsequente ao ensino médio e de normal/magistério (Possui uma ou mais matrículas),"0 - Não
1 - Sim"
IN_PROF_TEC,"Educação Profissional Técnica - Modo profissionalizante de ensino correspondente às turmas de cursos técnicos de nível médio nas formas articuladas (integrada ou concomitante), ou subsequente ao ensino médio e de normal/magistério (Possui uma ou mais matrículas)","0 - Não
1 - Sim"
IN_EJA,"Educação de Jovens e Adultos (EJA) - Modo, maneira ou metodologia de ensino correspondente às turmas destinadas a pessoas que não cursaram o ensino fundamental e/ou médio em idade própria (Possui uma ou mais matrículas)","0 - Não
1 - Sim"
IN_EJA_FUND,Educação de Jovens e Adultos (EJA) - Ensino Fundamental  (Possui uma ou mais matrículas),"0 - Não
1 - Sim"
IN_EJA_MED,Educação de Jovens e Adultos (EJA) - Ensino Médio (Possui uma ou mais matrículas),"0 - Não
1 - Sim"
IN_ESP,Educação Especial - Inclui a Educação Especial Inclusiva (em Classes Comuns) e a Educação Especial Exclusiva (Possui uma ou mais matrículas),"0 - Não
1 - Sim"
IN_ESP_CC,"Educação Especial Inclusiva (em Classes Comuns) - Escola possui um ou mais alunos com deficiência, transtorno global do desenvolvimento ou altas habilidades/superdotação estudando em classes comuns do Ensino Regular e/ou Educação de Jovens e Adultos (Possui uma ou mais matrículas)","0 - Não
1 - Sim"
IN_ESP_CE,"Educação Especial Exclusiva - Escola exclusivamente especializada e/ou que possui classe especial exclusiva para o atendimento de alunos com deficiência, transtorno global do desenvolvimento ou altas habilidades/superdotação (Possui uma ou mais matrículas)","0 - Não
1 - Sim"
QT_MAT_BAS,"Número de Matrículas da Educação Básica
",
QT_MAT_INF,Número de Matrículas da Educação Infantil,
QT_MAT_INF_CRE,Número de Matrículas da Educação Infantil - Creche,
QT_MAT_INF_PRE,Número de Matrículas da Educação Infantil - Pré-Escola,
QT_MAT_FUND,Número de Matrículas do Ensino Fundamental,
QT_MAT_FUND_AI,Número de Matrículas do Ensino Fundamental - Anos Iniciais,
QT_MAT_FUND_AI_1,Número de Matrículas do Ensino Fundamental - Anos Iniciais - 1º Ano,
QT_MAT_FUND_AI_2,Número de Matrículas do Ensino Fundamental - Anos Iniciais - 2º Ano,
QT_MAT_FUND_AI_3,Número de Matrículas do Ensino Fundamental - Anos Iniciais - 3º Ano,
QT_MAT_FUND_AI_4,Número de Matrículas do Ensino Fundamental - Anos Iniciais - 4º Ano,
QT_MAT_FUND_AI_5,Número de Matrículas do Ensino Fundamental - Anos Iniciais - 5º Ano,
QT_MAT_FUND_AF,Número de Matrículas do Ensino Fundamental - Anos Finais,
QT_MAT_FUND_AF_6,Número de Matrículas do Ensino Fundamental - Anos Finais - 6º Ano,
QT_MAT_FUND_AF_7,Número de Matrículas do Ensino Fundamental - Anos Finais - 7º Ano,
QT_MAT_FUND_AF_8,Número de Matrículas do Ensino Fundamental - Anos Finais - 8º Ano,
QT_MAT_FUND_AF_9,Número de Matrículas do Ensino Fundamental - Anos Finais - 9º Ano,
QT_MAT_MED,Número de Matrículas do Ensino Médio,
QT_MAT_MED_PROP,Número de Matrículas do Ensino Médio - Propedêutico,
QT_MAT_MED_PROP_1,Número de Matrículas do Ensino Médio - Propedêutico - 1º ano/1ª Série,
QT_MAT_MED_PROP_2,Número de Matrículas do Ensino Médio - Propedêutico - 2º ano/2ª Série,
QT_MAT_MED_PROP_3,Número de Matrículas do Ensino Médio - Propedêutico - 3º ano/3ª Série,
QT_MAT_MED_PROP_4,Número de Matrículas do Ensino Médio - Propedêutico - 4º ano/4ª Série,
QT_MAT_MED_PROP_NS,Número de Matrículas do Ensino Médio - Propedêutico - Não Seriado,
QT_MAT_MED_CT,Número de Matrículas do Ensino Médio - Curso Técnico Integrado à Educação Profissional,
QT_MAT_MED_CT_1,Número de Matrículas do Ensino Médio - Curso Técnico Integrado à Educação Profissional - 1º ano/1ª Série,
QT_MAT_MED_CT_2,Número de Matrículas do Ensino Médio - Curso Técnico Integrado à Educação Profissional - 2º ano/2ª Série,
QT_MAT_MED_CT_3,Número de Matrículas do Ensino Médio - Curso Técnico Integrado à Educação Profissional - 3º ano/3ª Série,
QT_MAT_MED_CT_4,Número de Matrículas do Ensino Médio - Curso Técnico Integrado à Educação Profissional - 4º ano/4ª Série,
QT_MAT_MED_CT_NS,Número de Matrículas do Ensino Médio - Curso Técnico Integrado à Educação Profissional - Não Seriado,
QT_MAT_MED_NM,Número de Matrículas do Ensino Médio -  Modalidade Normal/Magistério,
QT_MAT_MED_NM_1,Número de Matrículas do Ensino Médio -  Modalidade Normal/Magistério - 1º ano/1ª Série,
QT_MAT_MED_NM_2,Número de Matrículas do Ensino Médio -  Modalidade Normal/Magistério - 2º ano/2ª Série,
QT_MAT_MED_NM_3,Número de Matrículas do Ensino Médio -  Modalidade Normal/Magistério - 3º ano/3ª Série,
QT_MAT_MED_NM_4,Número de Matrículas do Ensino Médio -  Modalidade Normal/Magistério - 4º ano/4ª Série,
QT_MAT_PROF,Número de Matrículas da Educação Profissional,
QT_MAT_PROF_TEC,,
QT_MAT_PROF_TEC_CONC,Número de Matrículas da Educação Profissional Técnica - Curso Técnico Concomitante,
QT_MAT_PROF_TEC_SUBS,Número de Matrículas da Educação Profissional Técnica - Curso Técnico Subsequente,
QT_MAT_PROF_FIC_CONC,Número de Matrículas da Educação Profissional - Curso FIC Concomitante,
QT_MAT_EJA,Número de Matrículas da Educação de Jovens e Adultos (EJA),
QT_MAT_EJA_FUND,Número de Matrículas da Educação de Jovens e Adultos (EJA) - Ensino Fundamental,
QT_MAT_EJA_FUND_AI,Número de Matrículas da Educação de Jovens e Adultos (EJA) - Ensino Fundamental - Anos Iniciais,
QT_MAT_EJA_FUND_AF,Número de Matrículas da Educação de Jovens e Adultos (EJA) - Ensino Fundamental - Anos Finais,
QT_MAT_EJA_FUND_PJ,Número de Matrículas da Educação de Jovens e Adultos (EJA) - Ensino Fundamental - Projovem Urbano,
QT_MAT_EJA_FUND_AIAF,Número de Matrículas da Educação de Jovens e Adultos (EJA) - Ensino Fundamental - Anos Iniciais e Anos Finais,
QT_MAT_EJA_FUND_FIC,Número de Matrículas da Educação de Jovens e Adultos (EJA) - Ensino Fundamental - Curso FIC Integrado na Modalidade EJA de Nível Fundamental,
QT_MAT_EJA_MED,"Número de Matrículas da Educação de Jovens e Adultos (EJA) - Ensino Médio 
",
QT_MAT_EJA_MED_NPROF,Número de Matrículas da Educação de Jovens e Adultos (EJA) - Ensino Médio - Sem componente profissionalizante,
QT_MAT_EJA_MED_FIC,Número de Matrículas da Educação de Jovens e Adultos (EJA) - Ensino Médio - Curso FIC Integrado na Modalidade EJA de Nível Médio,
QT_MAT_EJA_MED_TEC,Número de Matrículas da Educação de Jovens e Adultos (EJA) - Ensino Médio - Curso Técnico Integrado na Modalidade EJA de Nível Médio,
QT_MAT_ESP,Número de Matrículas da Educação Especial,
QT_MAT_ESP_CC,Número de Matrículas da Educação Especial Inclusiva,
QT_MAT_ESP_CE,Número de Matrículas da Educação Especial Exclusiva,
QT_MAT_BAS_FEM,Número de Matrículas da Educação Básica - Feminino,
QT_MAT_BAS_MASC,Número de Matrículas da Educação Básica - Masculino,
QT_MAT_BAS_ND,Número de Matrículas da Educação Básica - Cor/Raça Não Declarada,
QT_MAT_BAS_BRANCA,Número de Matrículas da Educação Básica - Cor/Raça Branca,
QT_MAT_BAS_PRETA,Número de Matrículas da Educação Básica - Cor/Raça Preta,
QT_MAT_BAS_PARDA,Número de Matrículas da Educação Básica - Cor/Raça Parda,
QT_MAT_BAS_AMARELA,Número de Matrículas da Educação Básica - Cor/Raça Amarela,
QT_MAT_BAS_INDIGENA,Número de Matrículas da Educação Básica - Cor/Raça Indígena,
QT_MAT_BAS_0_3,Número de Matrículas da Educação Básica - Até 3 anos de idade,
QT_MAT_BAS_4_5,Número de Matrículas da Educação Básica - Entre 4 e 5 anos de idade,
QT_MAT_BAS_6_10,Número de Matrículas da Educação Básica - Entre 6 e 10 anos de idade,
QT_MAT_BAS_11_14,Número de Matrículas da Educação Básica - Entre 11 e 14 anos de idade,
QT_MAT_BAS_15_17,Número de Matrículas da Educação Básica - Entre 15 e 17 anos de idade,
QT_MAT_BAS_18_MAIS,Número de Matrículas da Educação Básica - Com 18 ou mais anos de idade,
QT_MAT_BAS_D,Número de Matrículas da Educação Básica - Turno Diurno,
QT_MAT_BAS_N,Número de Matrículas da Educação Básica - Turno Noturno,
QT_MAT_BAS_EAD,Número de Matrículas da Educação Básica - Turno não aplicável  para turmas semipresenciais ou de Educação a Distância (EAD),
QT_MAT_INF_INT,Número de Matrículas da Educação Infantil - Tempo Integral,
QT_MAT_INF_CRE_INT,Número de Matrículas da Educação Infantil - Creche - Tempo Integral,
QT_MAT_INF_PRE_INT,Número de Matrículas da Educação Infantil - Pré-Escola - Tempo Integral,
QT_MAT_FUND_INT,Número de Matrículas do Ensino Fundamental - Tempo Integral,
QT_MAT_FUND_AI_INT,Número de Matrículas do Ensino Fundamental - Anos Iniciais - Tempo Integral,
QT_MAT_FUND_AF_INT,Número de Matrículas do Ensino Fundamental - Anos Finais - Tempo Integral,
QT_MAT_MED_INT,Número de Matrículas do Ensino Médio - Tempo Integral,
QT_MAT_ZR_URB,Número de Matrículas da Educação Básica - Localização/Zona de residência do Aluno - Urbana,
QT_MAT_ZR_RUR,Número de Matrículas da Educação Básica - Localização/Zona de residência do Aluno - Rural,
QT_MAT_ZR_NA,Número de Matrículas da Educação Básica - Localização/Zona de residência do Aluno - Não aplicável para alunos residentes no exterior,
QT_TRANSP_PUBLICO,Número de Matrículas da Educação Básica de alunos que utilizam transporte escolar público,
QT_TRANSP_RESP_EST,Número de Matrículas da Educação Básica segundo o poder público responsável pelo transporte escolar - Estadual,
QT_TRANSP_RESP_MUN,Número de Matrículas da Educação Básica segundo o poder público responsável pelo transporte escolar - Municipal,
QT_DOC_BAS,Número de Docentes da Educação Básica,
QT_DOC_INF,Número de Docentes da Educação Infantil,
QT_DOC_INF_CRE,Número de Docentes da Educação Infantil - Creche,
QT_DOC_INF_PRE,Número de Docentes da Educação Infantil - Pré-Escola,
QT_DOC_FUND,Número de Docentes do Ensino Fundamental,
QT_DOC_FUND_AI,Número de Docentes do Ensino Fundamental - Anos Iniciais,
QT_DOC_FUND_AF,Número de Docentes do Ensino Fundamental - Anos Finais,
QT_DOC_MED,Número de Docentes do Ensino Médio,
QT_DOC_PROF,Número de Docentes da Educação Profissional,
QT_DOC_PROF_TEC,Número de Docentes da Educação Profissional Técnica,
QT_DOC_EJA,Número de Docentes da Educação de Jovens e Adultos (EJA),
QT_DOC_EJA_FUND,Número de Docentes da Educação de Jovens e Adultos (EJA) - Ensino Fundamental,
QT_DOC_EJA_MED,Número de Docentes da Educação de Jovens e Adultos (EJA) - Ensino Médio,
QT_DOC_ESP,Número de Docentes da Educação Especial,
QT_DOC_ESP_CC,Número de Docentes da Educação Especial Inclusiva,
QT_DOC_ESP_CE,Número de Docentes da Educação Especial Exclusiva,
QT_TUR_BAS,Número de Turmas de Educação Básica,
QT_TUR_INF,Número de Turmas de Educação Infantil,
QT_TUR_INF_CRE,Número de Turmas de Educação Infantil - Creche,
QT_TUR_INF_PRE,Número de Turmas de Educação Infantil - Pré-Escola,
QT_TUR_FUND,Número de Turmas de Ensino Fundamental,
QT_TUR_FUND_AI,Número de Turmas de Ensino Fundamental - Anos Iniciais,
QT_TUR_FUND_AF,Número de Turmas de Ensino Fundamental - Anos Finais,
QT_TUR_MED,Número de Turmas de Ensino Médio,
QT_TUR_PROF,Número de Turmas de Educação Profissional,
QT_TUR_PROF_TEC,Número de Turmas de Educação Profissional Técnica,
QT_TUR_EJA,Número de Turmas de Educação de Jovens e Adultos (EJA),
QT_TUR_EJA_FUND,Número de Turmas de Educação de Jovens e Adultos (EJA) - Ensino Fundamental,
QT_TUR_EJA_MED,Número de Turmas de Educação de Jovens e Adultos (EJA) - Ensino Médio,
QT_TUR_ESP,Número de Turmas de Educação Especial,
QT_TUR_ESP_CC,Número de Turmas de Educação Especial Inclusiva,
QT_TUR_ESP_CE,Número de Turmas de Educação Especial Exclusiva,
QT_TUR_BAS_D,Número de Turmas da Educação Básica - Turno Diurno,
QT_TUR_BAS_N,Número de Turmas da Educação Básica - Turno Noturno,
