REGIAO,UF,DEPENDENCIA_ADM,LOUSA_DIGITAL,COMP_MESA,COMP_PORTATIL,TABLET,MATRICULAS,TOTAL_EQUIPAMENTOS,TIPO_ESCOLA,EQP_POR_ALUNO
Norte,RO,3,0.0,0,0,0,41,0.0,Pública,0.0
Norte,RO,2,0.0,4,8,65,153,77.0,Pública,0.5032679738562091
Norte,RO,2,0.0,30,22,0,570,52.0,Pública,0.0912280701754386
Norte,RO,3,0.0,0,0,0,12,0.0,Pública,0.0
Norte,RO,3,0.0,12,0,0,595,12.0,Pública,0.020168067226890758
Norte,RO,3,0.0,0,0,0,23,0.0,Pública,0.0
Norte,RO,3,0.0,15,0,0,211,15.0,Pública,0.07109004739336493
Norte,RO,3,0.0,0,0,2,78,2.0,Pública,0.02564102564102564
Norte,RO,3,0.0,2,2,0,8,4.0,Pública,0.5
Norte,RO,3,0.0,0,0,0,31,0.0,Pública,0.0
Norte,RO,2,0.0,19,0,15,110,34.0,Pública,0.3090909090909091
Norte,RO,2,1.0,30,30,0,1034,61.0,Pública,0.05899419729206963
Norte,RO,3,0.0,0,15,0,921,15.0,Pública,0.016286644951140065
Norte,RO,3,0.0,0,0,0,212,0.0,Pública,0.0
Norte,RO,3,0.0,2,0,0,41,2.0,Pública,0.04878048780487805
Norte,RO,2,0.0,20,1,0,188,21.0,Pública,0.11170212765957446
Norte,RO,3,0.0,16,1,1,344,18.0,Pública,0.05232558139534884
Norte,RO,3,1.0,10,3,10,424,24.0,Pública,0.05660377358490566
Norte,RO,2,1.0,19,23,0,557,43.0,Pública,0.07719928186714542
Norte,RO,3,0.0,0,2,0,25,2.0,Pública,0.08
Norte,RO,2,1.0,19,0,0,493,20.0,Pública,0.04056795131845842
Norte,RO,2,1.0,23,0,0,478,24.0,Pública,0.0502092050209205
Norte,RO,3,0.0,0,0,0,455,0.0,Pública,0.0
Norte,RO,3,0.0,3,2,0,69,5.0,Pública,0.07246376811594203
Norte,RO,4,0.0,15,0,0,31,15.0,Privada,0.4838709677419355
